,Class balance,Train size,Model,Implementation,Threshold,Run,AUROC,AUCPR
0,0.1,200,1,user-defined,1,1,0.79523,0.81277
1,0.1,200,1,user-defined,2,1,0.7977,0.81042
2,0.1,200,1,user-defined,3,1,0.79863,0.81216
3,0.1,200,1,sklearn,-,1,0.79879,0.81191
4,0.1,200,2,user-defined,1,1,0.63685,0.65725
5,0.1,200,2,user-defined,2,1,0.63685,0.65725
6,0.1,200,2,user-defined,3,1,0.63685,0.65725
7,0.1,200,2,sklearn,-,1,0.63681,0.75161
8,0.1,200,3,user-defined,1,1,0.6416,0.65775
9,0.1,200,3,user-defined,2,1,0.6416,0.65775
10,0.1,200,3,user-defined,3,1,0.6416,0.65775
11,0.1,200,3,sklearn,-,1,0.64161,0.75387
12,0.1,200,4,user-defined,1,1,0.75534,0.78133
13,0.1,200,4,user-defined,2,1,0.75995,0.77138
14,0.1,200,4,user-defined,3,1,0.75963,0.76478
15,0.1,200,4,sklearn,-,1,0.75961,0.76687
16,0.1,400,1,user-defined,1,1,0.79388,0.81099
17,0.1,400,1,user-defined,2,1,0.7967,0.80828
18,0.1,400,1,user-defined,3,1,0.79655,0.80631
19,0.1,400,1,sklearn,-,1,0.79651,0.80669
20,0.1,400,2,user-defined,1,1,0.6346,0.67575
21,0.1,400,2,user-defined,2,1,0.6346,0.67575
22,0.1,400,2,user-defined,3,1,0.6346,0.67575
23,0.1,400,2,sklearn,-,1,0.63457,0.75645
24,0.1,400,3,user-defined,1,1,0.6263,0.66285
25,0.1,400,3,user-defined,2,1,0.6263,0.66285
26,0.1,400,3,user-defined,3,1,0.6263,0.66285
27,0.1,400,3,sklearn,-,1,0.62631,0.74926
28,0.1,400,4,user-defined,1,1,0.78851,0.79568
29,0.1,400,4,user-defined,2,1,0.79113,0.79332
30,0.1,400,4,user-defined,3,1,0.79233,0.79166
31,0.1,400,4,sklearn,-,1,0.79239,0.79112
32,0.1,800,1,user-defined,1,1,0.79503,0.81129
33,0.1,800,1,user-defined,2,1,0.79723,0.80942
34,0.1,800,1,user-defined,3,1,0.79805,0.80928
35,0.1,800,1,sklearn,-,1,0.79795,0.80865
36,0.1,800,2,user-defined,1,1,0.64105,0.6632
37,0.1,800,2,user-defined,2,1,0.64105,0.6632
38,0.1,800,2,user-defined,3,1,0.64105,0.6632
39,0.1,800,2,sklearn,-,1,0.64104,0.75511
40,0.1,800,3,user-defined,1,1,0.64485,0.6638
41,0.1,800,3,user-defined,2,1,0.64485,0.6638
42,0.1,800,3,user-defined,3,1,0.64485,0.6638
43,0.1,800,3,sklearn,-,1,0.64484,0.75692
44,0.1,800,4,user-defined,1,1,0.79006,0.80675
45,0.1,800,4,user-defined,2,1,0.79314,0.80855
46,0.1,800,4,user-defined,3,1,0.79493,0.80997
47,0.1,800,4,sklearn,-,1,0.79494,0.81199
48,0.1,1600,1,user-defined,1,1,0.79598,0.81422
49,0.1,1600,1,user-defined,2,1,0.79846,0.81209
50,0.1,1600,1,user-defined,3,1,0.79924,0.81097
51,0.1,1600,1,sklearn,-,1,0.79913,0.81102
52,0.1,1600,2,user-defined,1,1,0.63155,0.65255
53,0.1,1600,2,user-defined,2,1,0.63155,0.65255
54,0.1,1600,2,user-defined,3,1,0.63155,0.65255
55,0.1,1600,2,sklearn,-,1,0.63153,0.74804
56,0.1,1600,3,user-defined,1,1,0.6334,0.66585
57,0.1,1600,3,user-defined,2,1,0.6334,0.66585
58,0.1,1600,3,user-defined,3,1,0.6334,0.66585
59,0.1,1600,3,sklearn,-,1,0.63338,0.75282
60,0.1,1600,4,user-defined,1,1,0.79667,0.8133
61,0.1,1600,4,user-defined,2,1,0.79805,0.80885
62,0.1,1600,4,user-defined,3,1,0.79835,0.80866
63,0.1,1600,4,sklearn,-,1,0.79843,0.80864
64,0.1,3200,1,user-defined,1,1,0.79428,0.81107
65,0.1,3200,1,user-defined,2,1,0.79797,0.81172
66,0.1,3200,1,user-defined,3,1,0.79881,0.81221
67,0.1,3200,1,sklearn,-,1,0.79881,0.81186
68,0.1,3200,2,user-defined,1,1,0.61335,0.63035
69,0.1,3200,2,user-defined,2,1,0.61335,0.63035
70,0.1,3200,2,user-defined,3,1,0.61335,0.63035
71,0.1,3200,2,sklearn,-,1,0.61337,0.73384
72,0.1,3200,3,user-defined,1,1,0.626,0.649
73,0.1,3200,3,user-defined,2,1,0.626,0.649
74,0.1,3200,3,user-defined,3,1,0.626,0.649
75,0.1,3200,3,sklearn,-,1,0.62598,0.74472
76,0.1,3200,4,user-defined,1,1,0.79257,0.80478
77,0.1,3200,4,user-defined,2,1,0.79647,0.80638
78,0.1,3200,4,user-defined,3,1,0.79725,0.80863
79,0.1,3200,4,sklearn,-,1,0.79728,0.80853
80,0.1,6400,1,user-defined,1,1,0.7956,0.81134
81,0.1,6400,1,user-defined,2,1,0.79822,0.81132
82,0.1,6400,1,user-defined,3,1,0.79919,0.81121
83,0.1,6400,1,sklearn,-,1,0.79909,0.81076
84,0.1,6400,2,user-defined,1,1,0.62885,0.6494
85,0.1,6400,2,user-defined,2,1,0.62885,0.6494
86,0.1,6400,2,user-defined,3,1,0.62885,0.6494
87,0.1,6400,2,sklearn,-,1,0.62883,0.74599
88,0.1,6400,3,user-defined,1,1,0.64085,0.66295
89,0.1,6400,3,user-defined,2,1,0.64085,0.66295
90,0.1,6400,3,user-defined,3,1,0.64085,0.66295
91,0.1,6400,3,sklearn,-,1,0.64086,0.75496
92,0.1,6400,4,user-defined,1,1,0.79578,0.81256
93,0.1,6400,4,user-defined,2,1,0.7975,0.8099
94,0.1,6400,4,user-defined,3,1,0.79785,0.80877
95,0.1,6400,4,sklearn,-,1,0.79782,0.80905
96,0.1,12800,1,user-defined,1,1,0.79569,0.81229
97,0.1,12800,1,user-defined,2,1,0.79802,0.81041
98,0.1,12800,1,user-defined,3,1,0.79911,0.81161
99,0.1,12800,1,sklearn,-,1,0.79915,0.81123
100,0.1,12800,2,user-defined,1,1,0.63165,0.6542
101,0.1,12800,2,user-defined,2,1,0.63165,0.6542
102,0.1,12800,2,user-defined,3,1,0.63165,0.6542
103,0.1,12800,2,sklearn,-,1,0.63164,0.74857
104,0.1,12800,3,user-defined,1,1,0.6443,0.6621
105,0.1,12800,3,user-defined,2,1,0.6443,0.6621
106,0.1,12800,3,user-defined,3,1,0.6443,0.6621
107,0.1,12800,3,sklearn,-,1,0.64427,0.75621
108,0.1,12800,4,user-defined,1,1,0.79521,0.8125
109,0.1,12800,4,user-defined,2,1,0.79852,0.81321
110,0.1,12800,4,user-defined,3,1,0.79914,0.81325
111,0.1,12800,4,sklearn,-,1,0.79915,0.8128
112,0.2,200,1,user-defined,1,1,0.79156,0.81568
113,0.2,200,1,user-defined,2,1,0.79338,0.81733
114,0.2,200,1,user-defined,3,1,0.79434,0.8181
115,0.2,200,1,sklearn,-,1,0.79441,0.8182
116,0.2,200,2,user-defined,1,1,0.64685,0.6837
117,0.2,200,2,user-defined,2,1,0.64685,0.6837
118,0.2,200,2,user-defined,3,1,0.64685,0.6837
119,0.2,200,2,sklearn,-,1,0.64683,0.76961
120,0.2,200,3,user-defined,1,1,0.63045,0.6472
121,0.2,200,3,user-defined,2,1,0.63045,0.6472
122,0.2,200,3,user-defined,3,1,0.63045,0.6472
123,0.2,200,3,sklearn,-,1,0.63048,0.75281
124,0.2,200,4,user-defined,1,1,0.75655,0.77756
125,0.2,200,4,user-defined,2,1,0.75891,0.77677
126,0.2,200,4,user-defined,3,1,0.75884,0.7748
127,0.2,200,4,sklearn,-,1,0.75912,0.7717
128,0.2,400,1,user-defined,1,1,0.78927,0.81342
129,0.2,400,1,user-defined,2,1,0.79196,0.8122
130,0.2,400,1,user-defined,3,1,0.79375,0.81282
131,0.2,400,1,sklearn,-,1,0.79378,0.81303
132,0.2,400,2,user-defined,1,1,0.62275,0.6781
